place,latitude,longitude,date,time,temperature,humidity,wind_speed,weather
Maseru,-29.31,27.48,2025-06-22,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-22,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-22,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-22,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-22,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-22,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-22,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-22,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-22,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-22,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-22,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-22,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-22,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-22,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-22,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-22,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-22,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-22,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-22,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-22,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-22,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-22,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-22,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-22,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-23,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-23,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-23,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-23,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-23,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-23,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-23,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-23,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-23,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-23,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-23,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-23,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-23,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-23,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-23,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-23,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-23,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-23,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-23,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-23,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-23,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-23,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-23,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-23,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-24,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-24,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-24,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-24,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-24,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-24,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-24,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-24,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-24,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-24,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-24,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-24,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-24,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-24,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-24,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-24,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-24,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-24,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-24,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-24,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-24,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-24,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-24,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-24,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-25,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-25,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-25,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-25,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-25,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-25,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-25,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-25,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-25,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-25,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-25,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-25,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-25,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-25,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-25,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-25,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-25,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-25,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-25,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-25,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-25,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-25,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-25,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-25,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-26,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-26,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-26,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-26,03:00,16,38,14,Sunny
